className,NoKey,maxInDoc,totalInDoc,maxInAllClasses,maxInSpecClasses,totalInAllClasses,totalInSpecClasses,weightInAllClasses,weightInSpecClasses,NumAttr,NumOps,NumPubOps,Setters,Getters,Dep_Out,Dep_In,EC_Attr,IC_Attr,EC_Par,IC_Par,In_Design
EA_Model.Class_Model.org.junit.runner.JUnitCommandLineParseResult,6,4,17,46,12,75,23,12.5,3.833333333,3,9,4,0,2,0,0,0,1,0,3,N
EA_Model.Class_Model.org.junit.runner.JUnitCore,3,4,5,46,12,49,15,16.33333333,5,1,13,11,0,1,0,0,0,1,1,16,N
EA_Model.Class_Model.org.junit.runner.Request,1,4,4,8,4,8,4,8,4,0,11,11,0,1,0,0,2,0,12,5,N
EA_Model.Class_Model.org.junit.runner.Result.Listener,1,6,6,22,6,22,6,22,6,0,6,6,0,0,0,0,0,0,0,6,N
EA_Model.Class_Model.org.junit.runner.Result,1,4,4,9,6,9,6,9,6,6,7,7,0,5,0,0,1,0,20,1,N
EA_Model.Class_Model.org.junit.runner.Runner,1,1,1,11,11,11,11,11,11,0,3,3,0,1,0,0,2,0,28,2,N
EA_Model.Class_Model.org.junit.runner.FilterFactory.FilterNotCreatedException,4,7,11,23,7,29,8,7.25,2,0,1,1,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.runner.manipulation.Filter,1,7,7,23,7,23,7,23,7,1,5,5,0,0,0,0,2,0,17,2,N
EA_Model.Class_Model.org.junit.runner.manipulation.NoTestsRemainException,4,5,7,58,27,60,28,15,7,1,0,0,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.runner.manipulation.Sorter,1,2,2,3,2,3,2,3,2,2,3,3,0,0,0,0,0,0,6,2,N
EA_Model.Class_Model.org.junit.runner.notification.Failure,1,1,1,8,8,8,8,8,8,3,7,7,0,5,0,0,0,1,11,2,N
EA_Model.Class_Model.org.junit.runner.notification.RunListener,2,6,7,22,6,28,12,14,6,0,7,7,0,0,0,0,1,0,11,7,N
EA_Model.Class_Model.org.junit.runner.notification.RunNotifier.SafeNotifier,2,2,3,4,3,6,5,3,2.5,1,4,0,0,0,0,0,0,0,0,1,N
EA_Model.Class_Model.org.junit.runner.notification.RunNotifier,2,2,3,6,6,10,9,5,4.5,2,13,11,0,0,0,0,5,0,24,12,N
EA_Model.Class_Model.org.junit.runner.notification.StoppedByUserException,4,3,7,6,1,10,2,2.5,0.5,1,0,0,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.runner.notification.SynchronizedRunListener,3,6,8,22,6,29,13,9.666666667,4.333333333,2,11,10,0,1,0,0,0,1,0,8,N
EA_Model.Class_Model.org.junit.runners.AllTests,2,5,5,58,27,58,27,29,13.5,0,1,1,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.runners.BlockJUnit4ClassRunner,5,5,11,51,12,109,35,21.8,7,1,33,1,0,7,0,0,0,0,0,34,N
EA_Model.Class_Model.org.junit.runners.JUnit4,2,4,4,46,12,46,12,23,6,0,1,1,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.runners.Parameterized.TestClassRunnerForParameters,5,5,12,58,27,122,51,24.4,10.2,2,11,1,0,2,0,0,0,0,0,3,N
EA_Model.Class_Model.org.junit.runners.Parameterized,1,1,1,2,2,2,2,2,2,2,10,1,0,3,0,0,0,0,0,3,N
EA_Model.Class_Model.org.junit.runners.ParentRunner.=T,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.runners.ParentRunner,2,2,3,11,11,13,12,6.5,6,5,34,6,1,7,0,0,0,3,0,25,N
EA_Model.Class_Model.org.junit.runners.Suite,1,2,2,7,6,7,6,7,6,1,10,3,0,2,0,0,0,0,0,8,N
EA_Model.Class_Model.org.junit.runners.model.FrameworkField,2,5,6,15,3,18,4,9,2,1,10,9,0,9,0,0,0,0,1,0,N
EA_Model.Class_Model.org.junit.runners.model.FrameworkMember.=T,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.runners.model.FrameworkMember,2,3,4,7,3,10,5,5,2.5,0,8,5,0,8,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.runners.model.FrameworkMethod,2,3,4,11,9,14,12,7,6,1,20,19,0,13,0,0,3,0,28,0,N
EA_Model.Class_Model.org.junit.runners.model.InitializationError,2,5,6,13,7,20,9,10,4.5,2,4,4,0,1,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.runners.model.MultipleFailureException,3,2,4,11,8,20,10,6.666666667,3.333333333,2,4,4,0,2,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.runners.model.NoGenericTypeParametersValidator,5,7,17,57,5,88,11,17.6,2.2,1,6,0,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.runners.model.RunnerBuilder,2,4,5,17,11,28,20,14,10,1,7,4,0,0,0,0,1,0,11,2,N
EA_Model.Class_Model.org.junit.runners.model.Statement,1,2,2,4,3,4,3,4,3,0,1,1,0,0,0,0,6,0,58,0,N
EA_Model.Class_Model.org.junit.runners.model.TestClass,2,5,10,58,27,109,38,54.5,19,3,19,12,0,14,0,0,4,0,10,0,N
EA_Model.Class_Model.org.junit.validator.AnnotationValidator,2,2,3,6,5,9,8,4.5,4,1,3,3,0,0,0,0,0,0,1,3,N
EA_Model.Class_Model.org.junit.validator.AnnotationValidatorFactory,3,8,11,46,5,55,12,18.33333333,4,1,1,1,0,0,0,0,1,0,0,2,N
