Name,NumOps,EC_Attr,EC_Par,IC_Par,Assoc,NumDirClients,NumIndClients,NumAnc,NumDesc,Diags
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggDatabase.GamesCategories,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggDatabase.GamesDesigners,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggDatabase.GamesMechanics,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggDatabase.GamesPublishers,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggDatabase.Tables,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.BuddiesFragment.BuddiesQuery,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.BuddiesFragment.Callbacks,2,2,0,0,1,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.BuddyCollectionFragment.Callbacks,1,2,0,0,1,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.BuddyFragment.BuddyQuery,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.BuddyFragment.Callbacks,1,2,0,1,1,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.CollectionActivity.Query,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.CollectionFragment.Callbacks,6,2,0,0,1,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.CollectionFragment.Query,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.CollectionFragment.ViewQuery,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.GameDetailFragment.Query,6,1,0,0,1,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.GameInfoFragment.ArtistQuery,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.GameInfoFragment.BaseGameQuery,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.GameInfoFragment.Callbacks,2,2,0,1,1,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.GameInfoFragment.CategoryQuery,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.GameInfoFragment.DesignerQuery,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.GameInfoFragment.ExpansionQuery,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.GameInfoFragment.GameQuery,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.GameInfoFragment.MechanicQuery,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.GameInfoFragment.PublisherQuery,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.GameInfoFragment.RankQuery,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.PlayFragment.Callbacks,3,2,0,0,1,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.PlayFragment.PlayQuery,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.PlayFragment.PlayerQuery,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.PlayersFragment.Callbacks,1,2,0,0,1,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.ui.PlayersFragment.PlayersQuery,0,0,0,0,0,0,0,0,0,0
