word,inDoc,totalInDoc,ArgoUML,gwt_portlet,JavaClient,JGAP,Mars,Neuroph,JPMC,xUML,Maze,Wro4J,Junit
standard,3,4,1,0,0,0,1,0,2,0,0,0,0
standalon,1,3,0,0,0,0,0,0,0,0,0,3,0
stagger,1,1,0,0,0,0,0,0,0,0,1,0,0
stage,1,4,0,0,0,0,4,0,0,0,0,0,0
stacktrac,1,1,0,0,0,0,0,0,0,0,0,0,1
stack,1,1,0,1,0,0,0,0,0,0,0,0,0
src,1,6,6,0,0,0,0,0,0,0,0,0,0
squar,1,1,0,0,0,0,0,1,0,0,0,0,0
sqr,1,1,0,0,0,0,0,1,0,0,0,0,0
splitter,1,3,3,0,0,0,0,0,0,0,0,0,0
split,1,2,2,0,0,0,0,0,0,0,0,0,0
splash,2,2,1,0,0,0,1,0,0,0,0,0,0
spinner,1,1,0,0,0,0,0,0,0,0,1,0,0
speed,2,11,0,0,9,0,2,0,0,0,0,0,0
speech,1,4,0,0,4,0,0,0,0,0,0,0,0
specimen,1,1,0,0,0,0,1,0,0,0,0,0,0
specif,1,1,0,0,0,0,0,0,0,0,0,0,1
spawnabl,1,1,1,0,0,0,0,0,0,0,0,0,0
spacer,2,2,1,1,0,0,0,0,0,0,0,0,0
sp,1,1,1,0,0,0,0,0,0,0,0,0,0
sourc,4,24,4,4,0,0,9,0,7,0,0,0,0
sound,1,2,0,0,2,0,0,0,0,0,0,0,0
sorter,2,3,0,0,0,0,1,0,0,0,0,0,2
sortabl,1,2,0,0,0,0,0,0,2,0,0,0,0
sort,3,3,1,0,0,0,0,0,1,0,0,0,1
sonar,1,4,0,0,4,0,0,0,0,0,0,0,0
solar,1,2,0,0,0,0,2,0,0,0,0,0,0
social,1,1,0,0,0,0,1,0,0,0,0,0,0
snooz,1,3,3,0,0,0,0,0,0,0,0,0,0
smart,1,1,0,0,0,0,0,0,0,0,0,1,0
slot,1,1,0,0,0,1,0,0,0,0,0,0,0
sleep,1,1,0,0,0,0,1,0,0,0,0,0,0
skill,1,10,0,0,0,0,10,0,0,0,0,0,0
size,3,5,0,1,0,0,2,0,0,0,2,0,0
site,1,10,0,0,0,0,10,0,0,0,0,0,0
singleton,1,2,2,0,0,0,0,0,0,0,0,0,0
singl,1,1,0,0,0,0,0,0,0,0,0,1,0
sine,1,1,0,0,0,1,0,0,0,0,0,0,0
simul,2,11,0,0,4,0,7,0,0,0,0,0,0
simu,1,2,0,0,0,0,2,0,0,0,0,0,0
simpl,2,4,2,2,0,0,0,0,0,0,0,0,0
sim,1,2,0,0,0,0,2,0,0,0,0,0,0
signatur,2,2,0,0,0,0,0,0,0,1,0,0,1
signal,2,2,1,0,0,0,0,0,0,1,0,0,0
sigmoid,1,2,0,0,0,0,0,2,0,0,0,0,0
sickbai,1,2,0,0,0,0,2,0,0,0,0,0,0
sick,1,1,0,0,0,0,1,0,0,0,0,0,0
show,1,4,4,0,0,0,0,0,0,0,0,0,0
sharp,1,1,0,0,0,0,0,0,1,0,0,0,0
share,1,2,2,0,0,0,0,0,0,0,0,0,0
shallow,1,1,1,0,0,0,0,0,0,0,0,0,0
shadow,1,1,0,1,0,0,0,0,0,0,0,0,0
shade,1,1,0,0,0,0,1,0,0,0,0,0,0
sha,1,1,0,0,0,0,0,0,0,0,0,1,0
sgn,1,1,0,0,0,0,0,1,0,0,0,0,0
sever,1,2,0,0,0,0,2,0,0,0,0,0,0
setup,1,1,0,0,0,0,0,0,0,0,0,0,1
settlement,1,28,0,0,0,0,28,0,0,0,0,0,0
setposit,1,1,0,0,1,0,0,0,0,0,0,0,0
setpos,1,1,0,0,1,0,0,0,0,0,0,0,0
set,5,31,13,0,8,1,0,7,2,0,0,0,0
servlet,1,4,0,0,0,0,0,0,0,0,0,4,0
servic,2,4,0,2,0,0,2,0,0,0,0,0,0
serious,1,2,0,0,0,0,2,0,0,0,0,0,0
serial,1,1,1,0,0,0,0,0,0,0,0,0,0
sequenc,1,6,6,0,0,0,0,0,0,0,0,0,0
seq,1,9,9,0,0,0,0,0,0,0,0,0,0
semicolon,1,1,0,0,0,0,0,0,0,0,0,1,0
selector,4,9,0,0,0,6,1,0,1,0,0,1,0
select,3,21,19,1,0,1,0,0,0,0,0,0,0
segment,1,1,0,0,1,0,0,0,0,0,0,0,0
secur,1,2,2,0,0,0,0,0,0,0,0,0,0
section,1,1,0,1,0,0,0,0,0,0,0,0,0
sect,1,1,0,0,0,0,0,0,1,0,0,0,0
secondari,1,1,0,0,0,0,0,0,0,1,0,0,0
search,1,1,0,0,0,0,1,0,0,0,0,0,0
script,1,4,0,0,0,0,0,0,0,0,4,0,0
screen,1,1,1,0,0,0,0,0,0,0,0,0,0
scope,1,1,0,0,0,0,0,1,0,0,0,0,0
scientif,1,6,0,0,0,0,6,0,0,0,0,0,0
scienc,1,5,0,0,0,0,5,0,0,0,0,0,0
scanpos,1,1,0,0,1,0,0,0,0,0,0,0,0
sax,1,1,1,0,0,0,0,0,0,0,0,0,0
sampler,1,1,0,0,0,0,0,1,0,0,0,0,0
sampl,3,11,0,0,0,0,1,7,3,0,0,0,0
salvag,1,15,0,0,0,0,15,0,0,0,0,0,0
salesman,1,2,0,0,0,2,0,0,0,0,0,0,0
safe,1,2,0,0,0,0,0,0,0,0,0,0,2
safari,1,1,0,1,0,0,0,0,0,0,0,0,0
runner,1,11,0,0,0,0,0,0,0,0,0,0,11
rung,1,1,0,0,0,0,0,0,0,0,1,0,0
run,1,6,0,0,0,0,0,0,0,0,0,0,6
rule,2,5,0,0,0,0,0,3,0,0,0,0,2
rpc,1,1,0,0,1,0,0,0,0,0,0,0,0
row,2,8,0,7,0,0,0,1,0,0,0,0,0
rover,1,10,0,0,0,0,10,0,0,0,0,0,0
roulett,1,1,0,0,0,1,0,0,0,0,0,0,0
root,2,4,3,0,0,1,0,0,0,0,0,0,0
role,1,8,8,0,0,0,0,0,0,0,0,0,0
robot,1,9,0,0,0,0,0,0,0,0,9,0,0
roadi,1,2,0,0,0,0,0,0,0,0,0,0,2
rgb,1,1,0,0,0,0,0,1,0,0,0,0,0
rfid,1,3,0,0,3,0,0,0,0,0,0,0,0
rewrit,1,2,0,0,0,0,0,0,0,0,0,2,0
rewind,1,1,0,0,1,0,0,0,0,0,0,0,0
review,1,1,0,0,0,0,1,0,0,0,0,0,0
return,2,4,3,0,1,0,0,0,0,0,0,0,0
retainaid,1,2,0,0,0,0,2,0,0,0,0,0,0
resuppli,1,13,0,0,0,0,13,0,0,0,0,0,0
result,4,9,1,0,0,1,1,0,0,0,0,0,6
ressupli,1,2,0,0,0,0,2,0,0,0,0,0,0
respond,1,1,0,0,0,0,1,0,0,0,0,0,0
resourc,5,76,33,0,0,0,37,0,1,0,0,4,1
resolv,2,4,3,0,0,0,1,0,0,0,0,0,0
resiz,2,2,1,1,0,0,0,0,0,0,0,0,0
resid,1,1,1,0,0,0,0,0,0,0,0,0,0
reset,1,3,0,0,3,0,0,0,0,0,0,0,0
research,1,10,0,0,0,0,10,0,0,0,0,0,0
rescu,1,1,0,0,0,0,1,0,0,0,0,0,0
requir,1,2,0,0,0,0,2,0,0,0,0,0,0
request,4,8,0,1,0,1,0,0,0,0,0,2,4
req,2,28,1,0,27,0,0,0,0,0,0,0,0
represent,2,2,1,0,0,1,0,0,0,0,0,0,0
report,1,1,0,0,0,0,0,0,0,0,0,0,1
replac,1,1,0,1,0,0,0,0,0,0,0,0,0
repeat,1,1,0,0,0,0,0,0,0,0,0,0,1
repair,1,11,0,0,0,0,11,0,0,0,0,0,0
rendezv,1,1,0,0,0,0,1,0,0,0,0,0,0
render,5,19,11,0,0,2,2,1,3,0,0,0,0
renam,1,1,0,0,0,0,0,1,0,0,0,0,0
remov,2,2,1,0,0,1,0,0,0,0,0,0,0
rememb,1,1,0,0,0,0,0,0,0,0,0,0,1
remain,1,1,0,0,0,0,0,0,0,0,0,0,1
relax,1,1,0,0,0,0,1,0,0,0,0,0,0
relationship,1,7,0,0,0,0,7,0,0,0,0,0,0
relat,1,1,1,0,0,0,0,0,0,0,0,0,0
regolith,1,2,0,0,0,0,2,0,0,0,0,0,0
registri,2,3,2,0,0,0,1,0,0,0,0,0,0
refresh,1,3,0,3,0,0,0,0,0,0,0,0,0
reflect,2,3,2,0,0,0,0,0,0,0,0,0,1
referenti,1,1,0,0,0,0,0,0,0,1,0,0,0
refer,1,1,1,0,0,0,0,0,0,0,0,0,0
redo,1,1,1,0,0,0,0,0,0,0,0,0,0
recurs,1,1,0,0,0,0,0,0,0,0,0,1,0
rectangl,1,1,0,1,0,0,0,0,0,0,0,0,0
rect,1,3,3,0,0,0,0,0,0,0,0,0,0
recreat,1,3,0,0,0,0,3,0,0,0,0,0,0
recoveri,1,2,0,0,0,0,2,0,0,0,0,0,0
record,1,1,0,1,0,0,0,0,0,0,0,0,0
recommend,1,1,0,0,0,0,0,1,0,0,0,0,0
recognit,3,7,1,0,2,0,0,4,0,0,0,0,0
recogn,1,2,2,0,0,0,0,0,0,0,0,0,0
reason,1,1,0,0,0,0,0,1,0,0,0,0,0
realiz,1,3,3,0,0,0,0,0,0,0,0,0,0
reader,1,1,0,0,0,1,0,0,0,0,0,0,0
read,3,4,0,0,2,1,0,0,0,0,0,0,1
rbf,1,2,0,0,0,0,0,2,0,0,0,0,0
ratio,1,2,0,0,0,0,2,0,0,0,0,0,0
rate,2,9,0,0,0,3,6,0,0,0,0,0,0
rapid,1,1,1,0,0,0,0,0,0,0,0,0,0
rank,1,1,0,0,0,0,0,0,1,0,0,0,0
random,2,5,0,0,0,3,2,0,0,0,0,0,0
ramp,1,1,0,0,0,0,0,1,0,0,0,0,0
radio,2,2,1,0,0,0,0,0,0,0,1,0,0
queri,1,1,1,0,0,0,0,0,0,0,0,0,0
python,1,1,0,0,0,0,0,0,0,0,1,0,0
push,1,1,0,0,0,1,0,0,0,0,0,0,0
punctuat,1,1,1,0,0,0,0,0,0,0,0,0,0
pump,1,1,1,0,0,0,0,0,0,0,0,0,0
ptz,1,6,0,0,6,0,0,0,0,0,0,0,0
pseudost,1,4,4,0,0,0,0,0,0,0,0,0,0
provid,2,13,1,12,0,0,0,0,0,0,0,0,0
prospect,1,1,0,0,0,0,1,0,0,0,0,0,0
propos,1,1,0,0,0,0,1,0,0,0,0,0,0
proportion,1,1,0,0,0,1,0,0,0,0,0,0,0
proport,1,1,1,0,0,0,0,0,0,0,0,0,0
properti,6,30,11,0,0,1,1,3,12,0,0,2,0
propag,1,1,0,0,0,0,0,1,0,0,0,0,0
prop,1,75,75,0,0,0,0,0,0,0,0,0,0
project,3,15,10,0,0,0,4,1,0,0,0,0,0
program,1,5,0,0,0,5,0,0,0,0,0,0,0
profit,1,1,0,0,0,0,1,0,0,0,0,0,0
profil,1,2,2,0,0,0,0,0,0,0,0,0,0
prof,1,3,0,0,3,0,0,0,0,0,0,0,0
product,1,1,0,0,0,0,0,1,0,0,0,0,0
processor,1,20,0,0,0,0,0,0,0,0,0,20,0
process,1,16,0,0,0,0,16,0,0,0,0,0,0
procedur,1,1,0,0,0,0,0,0,0,1,0,0,0
problem,2,4,0,0,0,2,2,0,0,0,0,0,0
probabl,1,4,0,0,0,0,4,0,0,0,0,0,0
prioriti,1,2,2,0,0,0,0,0,0,0,0,0,0
printer,1,1,0,0,0,0,0,0,0,0,0,0,1
printabl,1,1,0,0,0,0,0,0,0,0,0,0,1
print,2,2,1,0,0,0,0,0,0,0,0,0,1
primit,1,2,0,0,0,0,0,0,0,2,0,0,0
primari,2,4,0,0,0,0,0,0,0,3,1,0,0
pressur,1,2,0,0,0,0,2,0,0,0,0,0,0
prescrib,1,1,0,0,0,0,1,0,0,0,0,0,0
preload,1,1,1,0,0,0,0,0,0,0,0,0,0
prefer,2,3,2,0,0,0,1,0,0,0,0,0,0
predic,1,2,2,0,0,0,0,0,0,0,0,0,0
pred,1,7,7,0,0,0,0,0,0,0,0,0,0
pre,1,5,0,0,0,0,0,0,0,0,0,5,0
