word,inDoc,total,gwt_portlet,ArgoUML,JavaClient,JGAP,Mars,Neuroph,JPMC,xUML,Maze,Wro4J
actarrai,1,11,0,0,11,0,0,0,0,0,0,0
stimulu,1,10,0,10,0,0,0,0,0,0,0,0
skill,1,10,0,0,0,0,10,0,0,0,0,0
site,1,10,0,0,0,0,10,0,0,0,0,0
rover,1,10,0,0,0,0,10,0,0,0,0,0
research,1,10,0,0,0,0,10,0,0,0,0,0
notat,1,10,0,10,0,0,0,0,0,0,0,0
miner,1,10,0,0,0,0,10,0,0,0,0,0
helper,3,10,4,5,0,0,0,1,0,0,0,0
eva,1,10,0,0,0,0,10,0,0,0,0,0
edg,3,10,1,8,0,0,0,1,0,0,0,0
composit,3,10,1,8,0,1,0,0,0,0,0,0
bean,1,10,0,0,0,0,10,0,0,0,0,0
treatment,1,9,0,0,0,0,9,0,0,0,0,0
transit,2,9,0,8,0,0,0,0,0,1,0,0
token,1,9,0,9,0,0,0,0,0,0,0,0
titl,2,9,5,0,0,0,0,0,4,0,0,0
step,3,9,0,6,0,0,0,2,0,0,1,0
start,2,9,0,2,0,0,7,0,0,0,0,0
seq,1,9,0,9,0,0,0,0,0,0,0,0
selector,4,9,0,0,0,6,1,0,1,0,0,1
robot,1,9,0,0,0,0,0,0,0,0,9,0
rate,2,9,0,0,0,3,6,0,0,0,0,0
portfolio,1,9,0,0,0,0,0,0,9,0,0,0
point,3,9,0,5,2,0,2,0,0,0,0,0
parser,2,9,0,8,0,0,0,1,0,0,0,0
multipl,1,9,0,9,0,0,0,0,0,0,0,0
min,3,9,0,0,0,0,4,1,0,0,0,4
log,2,9,0,0,6,0,3,0,0,0,0,0
imag,3,9,0,0,1,0,1,7,0,0,0,0
group,3,9,0,1,0,0,0,0,0,1,0,7
constraint,3,9,3,5,0,0,0,0,0,1,0,0
cell,5,9,0,2,0,1,2,0,1,0,3,0
assoc,1,9,0,9,0,0,0,0,0,0,0,0
amount,1,9,0,0,0,0,9,0,0,0,0,0
tran,1,8,0,8,0,0,0,0,0,0,0,0
trade,1,8,0,0,0,0,8,0,0,0,0,0
system,3,8,0,1,0,0,0,0,6,1,0,0
style,1,8,0,8,0,0,0,0,0,0,0,0
row,2,8,7,0,0,0,0,1,0,0,0,0
role,1,8,0,8,0,0,0,0,0,0,0,0
phase,1,8,0,0,0,0,8,0,0,0,0,0
pane,2,8,0,6,0,0,2,0,0,0,0,0
mani,1,8,0,8,0,0,0,0,0,0,0,0
main,4,8,0,1,0,0,5,0,1,0,1,0
loader,3,8,0,5,0,0,2,1,0,0,0,0
java,1,8,0,8,0,0,0,0,0,0,0,0
hebbian,1,8,0,0,0,0,0,8,0,0,0,0
good,1,8,0,0,0,0,8,0,0,0,0,0
gender,1,8,0,0,0,0,8,0,0,0,0,0
gen,2,8,1,7,0,0,0,0,0,0,0,0
fr,1,8,0,8,0,0,0,0,0,0,0,0
equip,1,8,0,0,0,0,8,0,0,0,0,0
crop,1,8,0,0,0,0,8,0,0,0,0,0
cm,1,8,0,8,0,0,0,0,0,0,0,0
builder,3,8,1,0,0,3,0,0,0,0,0,4
browser,3,8,4,2,0,0,0,0,2,0,0,0
actor,2,8,0,6,0,0,0,0,0,2,0,0
view,3,7,0,1,0,0,0,3,0,0,3,0
uri,1,7,0,0,0,0,0,0,0,0,0,7
theme,3,7,3,3,0,0,1,0,0,0,0,0
